,Unnamed: 0,Zip Code,City,Street,Lat,Lon,Trulia Est,Beds,Baths,Sqft,Price_Per_Sqft,Year Built,Cluster
179,477,95003,0,3075 Arlington Dr,36.98313,-121.89256,2166900.0,5.0,4.5,4354.0,198.0,1998.0,2
180,478,95003,0,3076 Arlington Dr,36.97868,-121.87316,866022.0,3.0,2.0,1618.0,155.0,1965.0,0
181,479,95003,0,3078 Arlington Dr,36.97805,-121.87341,883749.0,3.0,2.0,1916.0,292.0,1965.0,0
182,480,95003,0,3079 Arlington Dr,36.97846,-121.87301,901759.0,3.0,2.5,2022.0,296.0,1988.0,0
183,481,95003,0,3080 Arlington Dr,36.97821,-121.87286,1029443.0,3.0,2.5,2328.0,249.0,1978.0,0
184,482,95003,0,3081 Arlington Dr,36.9776,-121.8732,875139.0,4.0,2.0,1852.0,347.0,1977.0,0
185,483,95003,0,3082 Arlington Dr,36.97758,-121.87404,880910.0,3.0,2.5,1762.0,306.0,1977.0,0
186,489,95003,0,3083 Arlington Dr,36.97653,-121.87276,788902.0,3.0,2.0,1312.0,585.0,1971.0,3
187,492,95003,0,101 Arroyo Del Mar Ct,36.9767891,-121.8734351,870949.0,3.0,2.0,1718.0,413.0,1964.0,0
188,494,95003,0,107 Arroyo Del Mar Ct,36.97791,-121.87248999999998,1210083.0,4.0,2.5,2674.0,299.0,2000.0,5
189,496,95003,0,113 Arroyo Del Mar Ct,36.97846,-121.87238,975419.0,3.0,3.0,2149.0,173.0,1966.0,0
190,498,95003,0,305 Arthur Ave,36.97339,-121.89762,860619.0,3.0,1.5,1427.0,123.0,1999.0,0
191,499,95003,0,306 Arthur Ave,36.97379,-121.89773,834658.0,3.0,2.5,1450.0,224.0,1999.0,3
192,500,95003,0,308 Arthur Ave,36.98343,-121.91459,663625.0,2.0,2.5,1273.0,329.0,1981.0,3
193,510,95003,0,309 Arthur Ave,37.00061,-121.85507,775833.0,3.0,2.5,1836.0,196.0,1978.0,3
194,520,95003,0,310 Arthur Ave,36.971,-121.88664,821875.0,2.0,2.0,1496.0,321.0,1974.0,3
195,527,95003,0,312 Arthur Ave,36.96911,-121.88426,794785.0,3.0,2.0,1535.0,146.0,1964.0,3
196,532,95003,0,316 Arthur Ave,36.96878,-121.88395,810519.0,4.0,2.0,1415.0,325.0,1973.0,3
197,538,95003,0,317 Arthur Ave,36.96807,-121.88393,995956.0,3.0,2.5,1861.0,416.0,1998.0,0
198,539,95003,0,320 Arthur Ave,36.96823,-121.88344,767996.0,3.0,2.0,1200.0,171.0,1977.0,3
199,546,95003,0,321 Arthur Ave,36.96768,-121.88292,1098933.0,3.0,3.0,1816.0,512.0,1959.0,5
200,548,95003,0,322 Arthur Ave,36.96743,-121.8824,965123.0,3.0,2.0,1920.0,167.0,1963.0,0
201,549,95003,0,324 Arthur Ave,36.96735,-121.88225,1144493.0,4.0,3.0,1927.0,195.0,1960.0,5
202,550,95003,0,325 Arthur Ave,36.96726,-121.8821,977848.0,3.0,2.5,1839.0,133.0,1962.0,0
203,552,95003,0,326 Arthur Ave,36.9668,-121.88166,1053442.0,3.0,2.5,1902.0,237.0,1998.0,0
204,553,95003,0,329 Arthur Ave,36.96662,-121.88182,1236635.0,3.0,3.0,2393.0,196.0,1968.0,5
205,558,95003,0,331 Arthur Ave,36.96548,-121.88178,919108.0,2.0,2.0,1107.0,194.0,1969.0,0
206,563,95003,0,333 Arthur Ave,36.96453,-121.88128,1359452.0,5.0,3.0,2312.0,281.0,1960.0,1
207,567,95003,0,335 Arthur Ave,36.96428,-121.88049,1024211.0,3.0,2.0,1806.0,183.0,1960.0,0
208,575,95003,0,336 Arthur Ave,36.96365,-121.87823,1120610.0,3.0,2.0,2149.0,291.0,1960.0,5
209,576,95003,0,337 Arthur Ave,36.96332,-121.87884,1169306.0,3.0,3.0,2053.0,151.0,1975.0,5
210,580,95003,0,338 Arthur Ave,36.963,-121.87847,1125778.0,3.0,2.0,2069.0,222.0,1959.0,5
